metric,value
script,Node - v0.18.0
capital,50000.00
windows,10
trades,16
from,2026-03-05
to,2026-09-04
net,4250.00
net %,8.50
gross win,7263.00
gross loss,3013.00
profit factor,2.41
wins,9
losses,7
win rate %,56.2
average win,807.00
average loss,-430.43
expectancy,265.62
best,986.00
worst,-496.50
max drawdown,1768.00
max drawdown %,3.54
losing streak,3
commission,64.00
long trades,10
long net,3053.00
long win rate %,60.0
short trades,6
short net,1197.00
short win rate %,50.0

n,side,entry time,entry price,exit time,exit price,qty,net pnl,commission,favorable,adverse,bars,cumulative pnl,equity,source
1,long,2026-03-05 12:38,25010.75,2026-03-05 14:29,24930.5,3,-485.5,4.0,671.5,-483.5,111,-485.5,49514.5,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_69c63.csv
2,short,2026-04-13 10:37,25182.5,2026-04-13 10:49,25239.25,4,-458.0,4.0,178.0,-456.0,12,-943.5,49056.5,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_58c79.csv
3,long,2026-04-27 10:55,27378.25,2026-04-27 19:01,27436.0,3,342.5,4.0,442.0,-428.0,426,-601.0,49399.0,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_b019e.csv
4,long,2026-05-07 15:00,28696.25,2026-05-07 19:00,28553.5,1,-289.5,4.0,139.5,-287.5,180,-890.5,49109.5,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_b019e.csv
5,short,2026-05-20 10:52,29101.0,2026-05-20 11:16,29195.25,2,-381.0,4.0,370.0,-379.0,24,-1271.5,48728.5,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_0393c.csv
6,short,2026-05-20 12:04,29235.5,2026-05-20 12:15,29284.75,5,-496.5,4.0,30.5,-494.5,11,-1768.0,48232.0,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_0393c.csv
7,short,2026-06-10 11:45,29083.25,2026-06-10 12:12,28747.0,1,668.5,4.0,670.5,-89.0,27,-1099.5,48900.5,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_984fa.csv
8,short,2026-06-11 11:07,29012.25,2026-06-11 11:10,28938.5,6,881.0,4.0,883.0,-146.0,3,-218.5,49781.5,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_984fa.csv
9,long,2026-06-16 10:37,30808.5,2026-06-16 11:19,30750.75,4,-466.0,4.0,642.0,-464.0,42,-684.5,49315.5,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_984fa.csv
10,short,2026-06-24 12:10,29784.5,2026-06-24 14:16,29537.75,2,983.0,4.0,985.0,-178.0,126,298.5,50298.5,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_8a095.csv
11,long,2026-07-31 11:19,28194.0,2026-07-31 14:15,28421.0,2,904.0,4.0,906.0,-316.0,176,1202.5,51202.5,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_c96c8.csv
12,long,2026-08-03 10:37,28501.5,2026-08-03 14:23,28878.5,1,750.0,4.0,752.0,-173.0,226,1952.5,51952.5,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_bb623.csv
13,long,2026-08-05 13:15,29731.25,2026-08-05 13:21,29791.75,8,964.0,4.0,966.0,-190.0,6,2916.5,52916.5,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_bb623.csv
14,long,2026-08-28 11:20,29604.75,2026-08-28 12:00,29801.75,2,784.0,4.0,786.0,-7.0,40,3700.5,53700.5,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_33c56.csv
15,long,2026-09-04 12:43,29521.0,2026-09-04 14:42,29477.75,5,-436.5,4.0,748.0,-434.5,119,3264.0,53264.0,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_11e6b.csv
16,long,2026-09-04 14:48,29484.75,2026-09-04 15:30,29517.75,15,986.0,4.0,988.0,-407.0,42,4250.0,54250.0,Node_-_v0.17.1-dev_CME_MINI_MNQ1!_2026-09-13_11e6b.csv
